UBERON:0007616	layer of sinovial tissue
UBERON:0001088	urine
UBERON:0001359	cerebrospinal fluid
UBERON:0000458	endocervix
UBERON:0001977	serum
UBERON:0013702	body proper
UBERON:0014892	skeletal muscle organ
UBERON:0000045	ganglion
UBERON:0001911	mammary gland
UBERON:0001132	parathyroid gland
UBERON:0002073	hair follicle
UBERON:0003729	mouth mucosa
UBERON:0001301	epididymis
UBERON:0002185	bronchus
UBERON:0000970	eye
UBERON:0000004	nose
UBERON:0001042	chordate pharynx
UBERON:0002369	adrenal gland
UBERON:0006856	interrenal gland
UBERON:0001969	blood plasma
UBERON:0000178	blood
UBERON:0002371	bone marrow
UBERON:0002481	bone tissue
UBERON:0000955	brain
UBERON:0000310	breast
UBERON:0002418	cartilage tissue
UBERON:0000159	anal canal
UBERON:0001052	rectum
UBERON:0001154	vermiform appendix
UBERON:0001155	colon
UBERON:0012652	colorectum
UBERON:0001043	esophagus
UBERON:0002115	jejunum
UBERON:0002116	ileum
UBERON:0000056	ureter
UBERON:0002113	kidney
UBERON:0002107	liver
UBERON:0002110	gall bladder
UBERON:0002294	biliary system
UBERON:0004912	biliary bud
UBERON:0002048	lung
UBERON:0000029	lymph node
UBERON:0001744	lymphoid tissue
UBERON:0006558	lymphatic part of lymphoid system
UBERON:0006561	non-lymphatic part of lymphoid system
UBERON:0010394	lymphocyte domain
UBERON:0000166	oral opening
UBERON:0000167	oral cavity
UBERON:0000378	tongue muscle
UBERON:0001716	secondary palate
UBERON:0001723	tongue
UBERON:0001733	soft palate
UBERON:0001833	lip
UBERON:0003679	mouth floor
UBERON:0005905	insect labrum
UBERON:0008253	Aristotle's lantern
UBERON:0008802	cheek pouch
UBERON:0008805	gingival groove
UBERON:0010056	future tongue
UBERON:0011268	sublingua
UBERON:0011303	lamprey sucker
UBERON:0011349	pterygomandibular raphe
UBERON:0011595	jaw region
UBERON:0012105	baleen plate
UBERON:0013656	dulla
UBERON:0016482	dental plaque
UBERON:0016915	vermilion
UBERON:0034767	buccal vestibule
UBERON:0035942	space between upper and lower jaws
UBERON:1000011	labial commissure
UBERON:2002108	buccal papilla
UBERON:4300137	lingual region
UBERON:4300138	labial region
UBERON:4300139	posterolingual region
UBERON:0000473	testis
UBERON:0000992	female gonad
UBERON:0000994	spermathecum
UBERON:0002537	hermaphrodite gonad
UBERON:0009117	indifferent gonad
UBERON:0001264	pancreas
UBERON:0000977	pleura
UBERON:0002367	prostate gland
UBERON:0001052	rectum
UBERON:0001134	skeletal muscle tissue
UBERON:0000945	stomach
UBERON:0000473	testis
UBERON:0001723	tongue
UBERON:0001255	urinary bladder
UBERON:0002110	gall bladder
UBERON:0006860	swim bladder
UBERON:0000002	uterine cervix
UBERON:0000995	uterus
UBERON:0002097	skin of body
UBERON:0000947	aorta
UBERON:0000948	heart
UBERON:0002106	spleen
UBERON:0002240	spinal cord
UBERON:0007650	esophagogastric junction
UBERON:0000996	vagina
UBERON:0001981	blood vessel
UBERON:0003889	fallopian tube
UBERON:0001830	minor salivary gland
UBERON:0000007	pituitary gland
UBERON:0000168	proximal-distal subdivision of colon
UBERON:0002046	thyroid gland
UBERON:0001021	nerve
UBERON:0001013	adipose tissue
UBERON:0001898	hypothalamus
UBERON:0002245	cerebellar hemisphere
UBERON:0002114	duodenum
UBERON:0001987	placenta
UBERON:0001044	saliva-secreting gland
UBERON:0002108	small intestine
UBERON:0000059	large intestine
UBERON:0001135	smooth muscle tissue
UBERON:0000344	mucosa
UBERON:0003126	trachea
UBERON:0001046	hindgut
UBERON:0002370	thymus
UBERON:0001049	neural tube
UBERON:0000043	tendon
UBERON:0001040	yolk sac
UBERON:0004023	ganglionic eminence
UBERON:0007106	chorionic villus
CL:0000839	lymphoid lineage restricted progenitor cell
CL:0000837	hematopoietic multipotent progenitor cell
CL:0002032	hematopoietic oligopotent progenitor cell
CL:0000838	myeloid lineage restricted progenitor cell
CL:0000037	hematopoietic stem cell
CL:0000764	erythroid lineage cell
CL:0000526	afferent neuron
CL:0010022	cardiac neuron
CL:4033050	catecholaminergic neuron
CL:2000029	central nervous system neuron
CL:0000108	cholinergic neuron
CL:0000117	CNS neuron (sensu Vertebrata)
CL:0000527	efferent neuron
CL:0000617	GABAergic neuron
CL:0000679	glutamatergic neuron
CL:0000099	interneuron
CL:4023035	lateral ganglionic eminence derived neuron
CL:2000031	lateral line ganglion neuron
